JASM Light 16 2.2 Instruction Set 4/20/20

000 NOP ---   No operation.
128 STA num   Sets register A to "num".
129 STB num   Sets register B to "num".
130 STD num   Sets data register 2 to "num
131 RDA add   Reads from memory "add" to register A.
132 RDB add   Reads from memory "add" to register B.
133 RDD add   Reads from memory "add" to data register 2.
134 RAB add   Reads from memory "add" to register A using both data registers.
135 RBB add   Reads from memory "add" to register B using both data registers.
136 WTA add   Writes register A to memory "add".
137 WTB add   Writes register B to memory "add".
138 WTC add   Writes register C to memory "add".
139 WTD add   Writes data register 2 to memory "add".
140 WAB add   Writes register A to memory "add" using both data registers.
141 WBB add   Writes register B to memory "add" using both data registers.
142 WCB add   Writes register C to memory "add" using both data registers.
001 MCA ---   Moves register C to register A.
002 MCB ---   Moves register C to register B.
003 MCD ---   Moves register C to data register 2.
004 MAD ---   Moves register A to data register 2.
005 MBD ---   Moves register B to data register 2.
006 MDA ---   Moves data register 2 to register A.
007 MDB ---   Moves data register 2 to register B.
008 ADD ---   Sets register C to register A + register B.
009 SUB ---   Sets register C to register A - register B.
010 INA ---   Sets register C to register A incremented by 1.
011 DCA ---   Sets register C to register A decremented by 1.
012 SLA ---   Sets register C to register A shifted left by 1.
013 SRA ---   Sets register C to register A shifted right by 1.
014 AND ---   Stes register C to register A bitwise and register B.
015 ORR ---   Sets register C to register A bitwise or register B.
016 NOT ---   Sets register C to register A bitwise not register B.
017 XOR ---   Sets register C to register A bitwise xor register B.
143 OUT add   Sets the IO register to memory "add".
144 OTB add   Sets the IO register to memory "add" using both data registers.
145 OTN num   Sets the IO register to "num".
018 OTC ---   Sets the IO register to register C.
146 INP add   Sets memory "add" to the IO register.
147 INB add   Sets memory "add" to the IO register using both data registers.
019 NPA ---   Sets register A to the IO register.
020 NPB ---   Sets register C to the IO register.
021 NPD ---   Sets data register 2 to the IO register.
148 JMP add   Jumps to "add".
149 JPE add   Jumps to "add" if register A = register B.
150 JPG add   Jumps to "add" if register A > register B.
151 JPL add   Jumps to "add" if register A < register B.
152 JNE add   Jumps to "add" if register A != register B.
153 JGE add   Jumps to "add" if register A >= register B.
154 JLE add   Jumps to "add" if register A <= register B.
022 STP ---   Stops execution.
